15/05/2009;GACHETTE OF THE MASTIFF + TEENAGE BAD GIRLS
21/05/2009;JEAN CARON + LA CASA
27/05/2009;MELODIE EN SOUS-SOL: LA FAILLE + PURPLE...
05/06/2009;PREMIERS PAS : OHRE ONE + GORDON SHUMWAY + GLUK SUPERMARKET + SHELLAK
06/06/2009;IDLER'S ROW + DJ SIMBAD + DJ BASEPHUNK
11/06/2009;CARTON PARK
12/06/2009;CARTON PARK
13/06/2009;YETI + BERTRAND & : Sortie d'album
19/06/2009;BRUITS DE LUNE
19/06/2009;BRUITS DE LUNE VS BEATBOX : FURIE + RELOU KREW + BEATBOX TEAM
24/09/2009;VIOLENT SCAREDY CATS + THE DATSUNS
02/10/2009;REPERAGE 80 TOURS : ENDOGENE + CIRCENSES + LES CHARLATANS
08/10/2009;VERNISSAGE EXPO EDITIONS DU MONSTRE + CONCERTS
10/10/2009;FETE CATALANE: PEPET I MARIETA + IN*DIGNA + NEURÒTICS
15/10/2009;H-BURNS + THE YOUNG GODS
17/10/2009;NUIT BLANCHE > BRIGHTON COMES TO AMIENS
23/10/2009;FUNKY SKUNK + PUSH UP
24/10/2009;KRISTOV + THE NIGHTINGALES 
28/10/2009;MATT BAUER + MARIEE SIOUX
31/10/2009;BLOOD TROOPERS + ASHURA + GRONIBARD
10/11/2009;PICARDIE MOUV' - 10 ANS PROLIFIK > DJ JOS + LEXICON + DJ QBERT + DJ'S 
14/11/2009;PICARDIE MOUV'  : THE BEWITCHED HANDS + PONY PONY RUN RUN + AUTOKRATZ
17/11/2009;BRUITS DE LUNE
18/11/2009;MANTRAS + HOCUS POCUS
26/11/2009;OREGONE + THE BEYONDERS
28/11/2009;SORTIE COMPIL CARTER 7: METAL SESSION
04/12/2009;PREMIERS PAS SUR LA LUNE: YOUR HAPPY END + MY DEAR HUNTER + BRATS
10/12/2009;DELICIEUSE ALEXANDRA + LOÏC LANTOINE
15/12/2009;BRUITS DE LUNE
17/12/2009;GABLÉ > JEUNE PUBLIC
18/12/2009;GABLÉ > JEUNE PUBLIC
12/01/2010;BRUITS DE LUNE
22/01/2010;Festival Tendance: TURNSTEAK + MONDKOPF + ACID GIRLS
26/01/2010;CONCERT DES PROFS DE MUSIQUE EN HERBE
30/01/2010;KILLED BY MY SOUL + TRI[BALLES] + THE ARRS
05/02/2010;Sortie d'album: TRIO D'VIE
11/02/2010;SOURYA + THE VOID
12/02/2010;HINDI ZAHRA + MARIE-FLORE 
16/02/2010;BRUITS DE LUNE
19/02/2010;Sortie d'album: JOHN MAKAY + CLARA CLARA + DRACULA MI AMOR
25/02/2010;NUIT DE L'ALLIGATOR : HENRY'S FUNERAL SHOE + MAGNETIX + CLUES
27/02/2010;PROLIFIK SCRATCH BATTLE + FAYA BRAZvsJOHNNY MADNESS + FOREIGN BEGGARS
05/03/2010;Sortie d'album: ANORAK + KRUGER
11/03/2010;REVOLVER + LE PRINCE MIIAOU 
12/03/2010;CATERVA + DARKSIDE PROJECT + MISTA BEN / REACTER + BSIDE + TOMCASE 
13/03/2010;ACOUSTIC LADYLAND
16/03/2010;BRUITS DE LUNE
18/03/2010;PLASTISCINES + OREGONE
23/03/2010;SHOW CASE ACOUZIC: ALI HARTER + PM CURSED + SYLVIE + THE O'S
30/03/2010;Les Femmes S'en Mêlent: JESSIE EVANS + DANCE YOURSELF TO DEATH 
02/04/2010;Les Femmes S'en Mêlent : SARAH BLASKO + SYDNEY WAYSER
09/04/2010;A SUNNY DAY IN GLASGOW  + SEXUAL EARTHQUAKE IN KOBE + ANORAAK
12/04/2010;65 DAYS OF STATIC + KONG 
17/04/2010;CITE CARTER > LISA A PEUR + A POIL + FROG
20/04/2010;BRUITS DE LUNE
22/04/2010;DRAGIBUS
23/04/2010;DRAGIBUS
30/04/2010;ASHURA + STRONGHOLD+ COMO MUERTOS
06/05/2010;MARC DROUARD vs RAPHAEL DUMONT + ATELIER UNIVERSITAIRE DE JAZZ
12/05/2010;FM BELFAST + CURRY AND COCO 
13/05/2010;MUSTANG + POWERSOLO
17/05/2010;DECALAGE SONORE:THE BLACK BOX REVELATION
18/05/2010;DECALAGE SONORE: BRUITS DE LUNE
19/05/2010;DECALAGE SONORE: BATTLE DE REPRISE + JOHNNY DUMAL
20/05/2010;DECALAGE SONORE: MARVIN + KOUDLAM + THE NAME + JF VROD
21/05/2010;DECALAGE SONORE: THE TOXIC AVENGER + CERCUEIL
22/05/2010;DECALAGE SONORE: LES TATA'S
27/05/2010;ROCE + BLUNT CREW 
